"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"NGGWPUS","199010","1841.74","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199011","1825.816","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199012","1895.421","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199013","21522.622","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199101","1957.667","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199102","1737.959","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199103","1889.228","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199104","1799.742","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199105","1786.338","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199106","1712.514","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199107","1740.174","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199108","1740.663","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199109","1715.762","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199110","1863.592","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199111","1864.008","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199112","1942.461","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199113","21750.108","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199201","1952.053","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199202","1747.923","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199203","1837.33","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199204","1801.298","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199205","1841.543","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199206","1799.501","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199207","1841.528","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199208","1798.984","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199209","1786.2","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199210","1898.912","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199211","1871.098","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199212","1955.878","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199213","22132.249","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199301","1965.166","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199302","1767.708","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199303","1943.064","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199304","1842.904","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199305","1878.769","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199306","1794.868","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199307","1850.299","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199308","1871.405","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199309","1832.337","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199310","1950.32","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199311","1965.775","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199312","2063.028","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
